"Date","State/Territory","Net Interstate Migration"
"Jun-1988","NT",-947
"Sep-1988","NT",-143
"Dec-1988","NT",-141
"Mar-1989","NT",-458
"Jun-1989","NT",-727
"Sep-1989","NT",-406
"Dec-1989","NT",-410
"Mar-1990","NT",-502
"Jun-1990","NT",148
"Sep-1990","NT",-332
"Dec-1990","NT",49
"Mar-1991","NT",-537
"Jun-1991","NT",-332
"Sep-1991","NT",90
"Dec-1991","NT",-419
"Mar-1992","NT",-56
"Jun-1992","NT",-584
"Sep-1992","NT",-431
"Dec-1992","NT",462
"Mar-1993","NT",-182
"Jun-1993","NT",-548
"Sep-1993","NT",126
"Dec-1993","NT",-215
"Mar-1994","NT",-425
"Jun-1994","NT",-361
"Sep-1994","NT",-519
"Dec-1994","NT",367
"Mar-1995","NT",778
"Jun-1995","NT",-242
"Sep-1995","NT",-188
"Dec-1995","NT",1068
"Mar-1996","NT",-46
"Jun-1996","NT",-506
"Sep-1996","NT",647
"Dec-1996","NT",365
"Mar-1997","NT",-2
"Jun-1997","NT",744
"Sep-1997","NT",-62
"Dec-1997","NT",-139
"Mar-1998","NT",-203
"Jun-1998","NT",-68
"Sep-1998","NT",-54
"Dec-1998","NT",-363
"Mar-1999","NT",-174
"Jun-1999","NT",-362
"Sep-1999","NT",-364
"Dec-1999","NT",83
"Mar-2000","NT",-472
"Jun-2000","NT",-154
"Sep-2000","NT",-374
"Dec-2000","NT",-621
"Mar-2001","NT",-374
"Jun-2001","NT",-223
"Sep-2001","NT",-414
"Dec-2001","NT",-740
"Mar-2002","NT",-663
"Jun-2002","NT",-181
"Sep-2002","NT",-827
"Dec-2002","NT",-769
"Mar-2003","NT",-1011
"Jun-2003","NT",-161
"Sep-2003","NT",-624
"Dec-2003","NT",-487
"Mar-2004","NT",-425
"Jun-2004","NT",49
"Sep-2004","NT",-11
"Dec-2004","NT",-95
"Mar-2005","NT",342
"Jun-2005","NT",374
"Sep-2005","NT",20
"Dec-2005","NT",-10
"Mar-2006","NT",-295
"Jun-2006","NT",-268
"Sep-2006","NT",267
"Dec-2006","NT",-35
"Mar-2007","NT",43
"Jun-2007","NT",168
"Sep-2007","NT",426
"Dec-2007","NT",440
"Mar-2008","NT",19
"Jun-2008","NT",504
"Sep-2008","NT",299
"Dec-2008","NT",59
"Mar-2009","NT",156
"Jun-2009","NT",420
"Sep-2009","NT",75
"Dec-2009","NT",-284
"Mar-2010","NT",-329
"Jun-2010","NT",-123
"Sep-2010","NT",-288
"Dec-2010","NT",-859
"Mar-2011","NT",-1077
"Jun-2011","NT",-325
"Sep-2011","NT",37
"Dec-2011","NT",-458
"Mar-2012","NT",-340
"Jun-2012","NT",70
"Sep-2012","NT",38
"Dec-2012","NT",-149
"Mar-2013","NT",-291
"Jun-2013","NT",-79
"Sep-2013","NT",-270
"Dec-2013","NT",-896
"Mar-2014","NT",-622
"Jun-2014","NT",-633
"Sep-2014","NT",-305
"Dec-2014","NT",-879
"Mar-2015","NT",-896
"Jun-2015","NT",-261
"Sep-2015","NT",-298
"Dec-2015","NT",-626
"Mar-2016","NT",-612
"Jun-2016","NT",-493
"Sep-2016","NT",-218
"Dec-2016","NT",-746
"Mar-2017","NT",-697
"Jun-2017","NT",-272
"Sep-2017","NT",-340
"Dec-2017","NT",-806
"Mar-2018","NT",-929
"Jun-2018","NT",-602
"Sep-2018","NT",-513
"Dec-2018","NT",-1065
"Mar-2019","NT",-888
"Jun-2019","NT",-546
"Sep-2019","NT",-217
"Dec-2019","NT",-503
"Mar-2020","NT",-253
"Jun-2020","NT",74
"Sep-2020","NT",238
"Dec-2020","NT",50
"Mar-2021","NT",-142
"Jun-2021","NT",-465
"Sep-2021","NT",-813
"Dec-2021","NT",-990
"Mar-2022","NT",-310
"Jun-2022","NT",-447
"Sep-2022","NT",-529
"Dec-2022","NT",-838
"Mar-2023","NT",-931
"Jun-2023","NT",-969
"Sep-2023","NT",-868
"Dec-2023","NT",-1189
"Jun-1981","ACT",565
"Sep-1981","ACT",-15
"Dec-1981","ACT",-824
"Mar-1982","ACT",-42
"Jun-1982","ACT",711
"Sep-1982","ACT",-430
"Dec-1982","ACT",-98
"Mar-1983","ACT",603
"Jun-1983","ACT",913
"Sep-1983","ACT",-229
"Dec-1983","ACT",584
"Mar-1984","ACT",84
"Jun-1984","ACT",503
"Sep-1984","ACT",-153
"Dec-1984","ACT",-235
"Mar-1985","ACT",155
"Jun-1985","ACT",1402
"Sep-1985","ACT",664
"Dec-1985","ACT",966
"Mar-1986","ACT",-138
"Jun-1986","ACT",291
"Sep-1986","ACT",627
"Dec-1986","ACT",362
"Mar-1987","ACT",399
"Jun-1987","ACT",552
"Sep-1987","ACT",586
"Dec-1987","ACT",553
"Mar-1988","ACT",562
"Jun-1988","ACT",361
"Sep-1988","ACT",-341
"Dec-1988","ACT",-257
"Mar-1989","ACT",472
"Jun-1989","ACT",12
"Sep-1989","ACT",35
"Dec-1989","ACT",644
"Mar-1990","ACT",-106
"Jun-1990","ACT",757
"Sep-1990","ACT",495
"Dec-1990","ACT",636
"Mar-1991","ACT",758
"Jun-1991","ACT",1043
"Sep-1991","ACT",79
"Dec-1991","ACT",39
"Mar-1992","ACT",543
"Jun-1992","ACT",704
"Sep-1992","ACT",174
"Dec-1992","ACT",-297
"Mar-1993","ACT",1410
"Jun-1993","ACT",29
"Sep-1993","ACT",-45
"Dec-1993","ACT",-113
"Mar-1994","ACT",-284
"Jun-1994","ACT",16
"Sep-1994","ACT",-288
"Dec-1994","ACT",-187
"Mar-1995","ACT",629
"Jun-1995","ACT",-640
"Sep-1995","ACT",-196
"Dec-1995","ACT",-972
"Mar-1996","ACT",437
"Jun-1996","ACT",75
"Sep-1996","ACT",-467
"Dec-1996","ACT",-292
"Mar-1997","ACT",-688
"Jun-1997","ACT",-1023
"Sep-1997","ACT",-934
"Dec-1997","ACT",-536
"Mar-1998","ACT",-477
"Jun-1998","ACT",-35
"Sep-1998","ACT",-427
"Dec-1998","ACT",-353
"Mar-1999","ACT",54
"Jun-1999","ACT",220
"Sep-1999","ACT",-26
"Dec-1999","ACT",130
"Mar-2000","ACT",189
"Jun-2000","ACT",-384
"Sep-2000","ACT",-145
"Dec-2000","ACT",122
"Mar-2001","ACT",158
"Jun-2001","ACT",272
"Sep-2001","ACT",-342
"Dec-2001","ACT",265
"Mar-2002","ACT",161
"Jun-2002","ACT",-281
"Sep-2002","ACT",-293
"Dec-2002","ACT",35
"Mar-2003","ACT",-195
"Jun-2003","ACT",-349
"Sep-2003","ACT",-691
"Dec-2003","ACT",-579
"Mar-2004","ACT",-155
"Jun-2004","ACT",-161
"Sep-2004","ACT",-663
"Dec-2004","ACT",-152
"Mar-2005","ACT",108
"Jun-2005","ACT",-135
"Sep-2005","ACT",11
"Dec-2005","ACT",486
"Mar-2006","ACT",-463
"Jun-2006","ACT",224
"Sep-2006","ACT",158
"Dec-2006","ACT",832
"Mar-2007","ACT",506
"Jun-2007","ACT",969
"Sep-2007","ACT",-485
"Dec-2007","ACT",-98
"Mar-2008","ACT",309
"Jun-2008","ACT",534
"Sep-2008","ACT",-506
"Dec-2008","ACT",211
"Mar-2009","ACT",-27
"Jun-2009","ACT",13
"Sep-2009","ACT",-308
"Dec-2009","ACT",221
"Mar-2010","ACT",297
"Jun-2010","ACT",217
"Sep-2010","ACT",4
"Dec-2010","ACT",1222
"Mar-2011","ACT",-16
"Jun-2011","ACT",144
"Sep-2011","ACT",139
"Dec-2011","ACT",570
"Mar-2012","ACT",125
"Jun-2012","ACT",311
"Sep-2012","ACT",186
"Dec-2012","ACT",-6
"Mar-2013","ACT",65
"Jun-2013","ACT",-43
"Sep-2013","ACT",-321
"Dec-2013","ACT",529
"Mar-2014","ACT",-536
"Jun-2014","ACT",-484
"Sep-2014","ACT",-180
"Dec-2014","ACT",69
"Mar-2015","ACT",47
"Jun-2015","ACT",-39
"Sep-2015","ACT",-96
"Dec-2015","ACT",113
"Mar-2016","ACT",214
"Jun-2016","ACT",152
"Sep-2016","ACT",367
"Dec-2016","ACT",1178
"Mar-2017","ACT",937
"Jun-2017","ACT",433
"Sep-2017","ACT",157
"Dec-2017","ACT",784
"Mar-2018","ACT",478
"Jun-2018","ACT",509
"Sep-2018","ACT",-9
"Dec-2018","ACT",1262
"Mar-2019","ACT",420
"Jun-2019","ACT",552
"Sep-2019","ACT",645
"Dec-2019","ACT",912
"Mar-2020","ACT",38
"Jun-2020","ACT",744
"Sep-2020","ACT",768
"Dec-2020","ACT",1930
"Mar-2021","ACT",1243
"Jun-2021","ACT",2334
"Sep-2021","ACT",-868
"Dec-2021","ACT",-963
"Mar-2022","ACT",5
"Jun-2022","ACT",-385
"Sep-2022","ACT",-387
"Dec-2022","ACT",-461
"Mar-2023","ACT",-519
"Jun-2023","ACT",-224
"Sep-2023","ACT",-641
"Dec-2023","ACT",-450
